book_id,title,authors,genres,description,image_url
328491,"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Fiction|Test","Harry Potter has never been the star of a Quidditch team, scoring points while riding a broom far above the ground. He knows no spells, has never helped to hatch a dragon, and has never worn a cloak of invisibility. All he knows is a miserable life with the Dursleys, his horrible aunt and uncle, and their abominable son, Dudley - a great big swollen spoiled bully. Harry's room is a tiny closet at the foot of the stairs, and he hasn't had a birthday party in eleven years. But all that is about to change when a mysterious letter arrives by owl messenger: a letter with an invitation to an incredible place that Harry - and anyone who reads about him - will find unforgettable. For it's there that he finds not only friends, aerial sports, and magic in everything from classes to meals, but a great destiny that's been waiting for him... if Harry can survive the encounter.","https://assets.hardcover.app/editions/3890025/4883525795702759-58613380.jpg"
379760,"1984","George Orwell","Classics|Science fiction|Dystopian|Fantasy|Adventurous|challenging|dark|mysterious","Winston Smith toes the Party line, rewriting history to satisfy the demands of the Ministry of Truth. With each lie he writes, Winston grows to hate the Party that seeks power for its own sake and persecutes those who dare to commit thoughtcrimes. But as he starts to think for himself, Winston can’t escape the fact that Big Brother is always watching... A startling and haunting novel, 1984 creates an imaginary world that is completely convincing from start to finish. No one can deny the novel’s hold on the imaginations of whole generations, or the power of its admonitions—a power that seems to grow, not lessen, with the passage of time.","https://assets.hardcover.app/external_data/35434356/b1ffbb921e779f0542a441b33fbe504281991e50.jpeg"
429306,"Harry Potter and the Chamber of Secrets","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Middle Grade|Fiction","The Dursleys were so mean and hideous that summer that all Harry Potter wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby who says that if Harry Potter returns to Hogwarts, disaster will strike. And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockhart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny. But each of these seem minor annoyances when the real trouble begins, and someone, or something, starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects: Harry Potter himself?","https://assets.hardcover.app/editions/25614271/4833571895209920-lf.jpeg"
376219,"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Fiction","For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort. Now he has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard Black muttering in his sleep, ""He's at Hogwarts . . . he's at Hogwarts."" Harry Potter isn't safe, not even within the walls of his magical school, surrounded by his friends. Because on top of it all, there may well be a traitor in their midst.","https://assets.hardcover.app/editions/29858357/2484661554595800.jpg"
383236,"Harry Potter and the Goblet of Fire","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Adventurous|challenging|dark|emotional","Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup. He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for a hundred years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards. And in his case, different can be deadly. Paperback edition of the fourth Harry Potter novel.","https://assets.hardcover.app/editions/16055859/5358972612351229-49130.jpg"
88639,"The Hunger Games","Suzanne Collins","Young Adult|Dystopian|Fantasy|Science fiction|Adventure|Adventurous","In the ruins of a place once known as North America lies the nation of Panem, a shining Capitol surrounded by twelve outlying districts. The Capitol is harsh and cruel and keeps the districts in line by forcing them all to send one boy and one girl between the ages of twelve and eighteen to participate in the annual Hunger Games, a fight to the death on live TV. Sixteen-year-old Katniss Everdeen regards it as a death sentence when she steps forward to take her sister's place in the Games. But Katniss has been close to dead before-and survival, for her, is second nature. Without really meaning to, she becomes a contender. But if she is to win, she will have to start making choices that weigh survival against humanity and life against love.","https://assets.hardcover.app/editions/1589497/2979196565308831-lf%202.jpeg"
428465,"Harry Potter and the Order of the Phoenix","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Fiction|low fantasy|Middle Grade","The book that took the world by storm.... In his fifth year at Hogwart's, Harry faces challenges at every turn, from the dark threat of He-Who-Must-Not-Be- Named and the unreliability of the government of the magical world to the rise of Ron Weasley as the keeper of the Gryffindor Quidditch Team. Along the way he learns about the strength of his friends, the fierceness of his enemies, and the meaning of sacrifice.","https://assets.hardcover.app/editions/29262698/2170450621507933-58613451.jpg"
382700,"The Hobbit","J.R.R. Tolkien","challenging|emotional|funny|hopeful|inspiring|lighthearted|relaxing|slow","Bilbo Baggins is a hobbit who enjoys a comfortable, unambitious life, rarely traveling any farther than his pantry or cellar. But his contentment is disturbed when the wizard Gandalf and a company of dwarves arrive on his doorstep one day to whisk him away on an adventure. They have launched a plot to raid the treasure hoard guarded by Smaug the Magnificent, a large and very dangerous dragon. Bilbo reluctantly joins their quest, unaware that on his journey to the Lonely Mountain he will encounter both a magic ring and a frightening creature known as Gollum.","https://assets.hardcover.app/edition/8548995/27d187cb1a0bec4b21ebfc53658388bc8b071256.jpeg"
428506,"Harry Potter and the Half-Blood Prince","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Fiction|low fantasy|Adventurous","The war against Voldemort is not going well; even the Muggles have been affected. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses. And yet . . . As with all wars, life goes on. Sixth-year students learn to Apparate. Teenagers flirt and fight and fall in love. Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. And with Dumbledore's guidance, he seeks out the full, complex story of the boy who became Lord Voldemort -- and thus finds what may be his only vulnerability.","https://assets.hardcover.app/editions/19724535/8038369521613846-58613345.jpg"
382143,"Harry Potter and the Deathly Hallows","J.K. Rowling","Fantasy|Young Adult|Adventure|Classics|Fiction|low fantasy|Middle Grade|Adventurous","As he climbs into the sidecar of Hagrid’s motorbike and takes to the skies, leaving Privet Drive for the last time, Harry Potter knows that Lord Voldemort and the Death Eaters are not far behind. The protective charm that has kept Harry safe until now is now broken, but he cannot keep hiding. The Dark Lord is breathing fear into everything Harry loves, and to stop him Harry will have to find and destroy the remaining Horcruxes. The final battle must begin – Harry must stand and face his enemy.","https://assets.hardcover.app/editions/14019917/7017379795452299-58613224.jpg"
